노드ID,노드명,노드단축명,위도,경도,출발감지반경,도착감지반경,사용여부,데이터 기준일
2850215600,0,,36.91260896 ,127.20416000 ,30,30,1,2025-09-01
2850215700,0,,36.91673596 ,127.20233400 ,30,30,1,2025-09-01
2850216600,0,(독정리사거리),36.91764619 ,127.23251360 ,30,30,1,2025-09-01
2850216700,0,입장교차로 남측,36.92228928 ,127.23534670 ,30,30,1,2025-09-01
2850216800,0,입장교 동단,36.92247890 ,127.23577090 ,30,30,1,2025-09-01
2850216900,0,입장교 서단,36.92267708 ,127.23531400 ,30,30,1,2025-09-01
2850217000,0,입장교차로 북측,36.92294826 ,127.23577230 ,30,30,1,2025-09-01
2850217100,0,(도경계),36.92354100 ,127.23615830 ,30,30,1,2025-09-01
2850219700,0,유정1교,36.68874872 ,127.15966850 ,30,30,1,2025-09-01
2850189500,0,의관동삼거리,36.81751940 ,127.31587300 ,30,30,1,2025-09-01
2850189700,0,관성리2길,36.82132297 ,127.32384800 ,30,30,1,2025-09-01
2850189800,0,명덕리길,36.82238891 ,127.25491810 ,30,30,1,2025-09-01
2850189900,0,위례초교삼거리,36.82472581 ,127.27317260 ,30,30,1,2025-09-01
2850190000,0,신자경천도뫼,36.82497760 ,127.28405250 ,30,30,1,2025-09-01
2850190100,0,북면사무소,36.82730750 ,127.27246280 ,30,30,1,2025-09-01
2850193300,0,성거지게차,36.87787881 ,127.20363210 ,30,30,1,2025-09-01
2850193400,0,수청거리,36.87855792 ,127.20413740 ,30,30,1,2025-09-01
2850194200,0,호견길,36.88440572 ,127.23798650 ,30,30,1,2025-09-01
2850194900,0,호계리사거리,36.90260785 ,127.22068910 ,30,30,1,2025-09-01
2850195500,0,연합아파트삼거리,36.91285189 ,127.20992910 ,30,30,1,2025-09-01
2850195600,0,성거소방삼거리,36.91328928 ,127.21714440 ,30,30,1,2025-09-01
2850195700,0,도림2리,36.91373705 ,127.24695470 ,30,30,1,2025-09-01
2850195800,0,한성아파트,36.91403049 ,127.24504900 ,30,30,1,2025-09-01
2850195900,0,입장초교삼거리,36.91436568 ,127.22215260 ,30,30,1,2025-09-01
2850196300,0,흥농종묘삼거리,36.91504398 ,127.20971060 ,30,30,1,2025-09-01
2850196500,0,공동회관,36.92007942 ,127.25254340 ,30,30,1,2025-09-01
2850197000,0,,36.95088591 ,127.19695320 ,30,30,1,2025-09-01
2850197800,0,,36.90481932 ,127.27865710 ,30,30,1,2025-09-01
2850198300,0,한솔제지앞,36.69029458 ,127.15759200 ,30,30,1,2025-09-01
2850198400,0,남천안IC입구,36.74975341 ,127.17087510 ,30,30,1,2025-09-01
2850198500,0,삼성2리BS앞,36.75416204 ,127.17115130 ,30,30,1,2025-09-01
2850198700,0,동평1리,36.76994703 ,127.23886860 ,30,30,1,2025-09-01
2850198800,0,백운암입구,36.77033887 ,127.23114400 ,30,30,1,2025-09-01
2850198900,0,초원아파트앞,36.77130851 ,127.22950230 ,30,30,1,2025-09-01
2850161800,0,,36.84607450 ,127.32042330 ,30,30,1,2025-09-01
2850162100,0,,36.84795158 ,127.20139120 ,30,30,1,2025-09-01
2850162200,0,양곡2교,36.84908345 ,127.27763700 ,30,30,1,2025-09-01
2850162300,0,양곡2교,36.84916273 ,127.27774360 ,30,30,1,2025-09-01
2850162400,0,,36.84970361 ,127.28616730 ,30,30,1,2025-09-01
2850163700,0,,36.85544125 ,127.26590930 ,30,30,1,2025-09-01
2850164100,0,,36.85562320 ,127.26560670 ,30,30,1,2025-09-01
2850166300,0,(양계장),36.86853031 ,127.19821780 ,30,30,1,2025-09-01
2850166400,0,,36.86873726 ,127.20413450 ,30,30,1,2025-09-01
2850166500,0,(뉴호스텔),36.87006555 ,127.19953970 ,30,30,1,2025-09-01
2850166700,0,천흥교,36.87078490 ,127.19999610 ,30,30,1,2025-09-01
2850166900,0,천흥교,36.87091312 ,127.20007750 ,30,30,1,2025-09-01
2850167300,0,,36.87296344 ,127.29939620 ,30,30,1,2025-09-01
2850167400,0,,36.87317702 ,127.21071100 ,30,30,1,2025-09-01
2850167500,0,(삼일아파트103동),36.87423911 ,127.20178130 ,30,30,1,2025-09-01
2850168000,0,,36.87526167 ,127.29168830 ,30,30,1,2025-09-01
2850169300,0,,36.87763494 ,127.21396310 ,30,30,1,2025-09-01
2850169500,0,,36.87782587 ,127.19630070 ,30,30,1,2025-09-01
2850170600,0,,36.87947734 ,127.29445190 ,30,30,1,2025-09-01
2850170700,0,,36.87959812 ,127.21315580 ,30,30,1,2025-09-01
2850171100,0,,36.88135317 ,127.20841330 ,30,30,1,2025-09-01
2850171200,0,저리1교,36.88180590 ,127.20279580 ,30,30,1,2025-09-01
2850171300,0,저리1교,36.88201497 ,127.20291480 ,30,30,1,2025-09-01
2850171400,0,,36.88291642 ,127.21412260 ,30,30,1,2025-09-01
2850171500,0,(동국엔지니어링),36.88313059 ,127.20855350 ,30,30,1,2025-09-01
2850171800,0,(도정공장),36.88551612 ,127.19867490 ,30,30,1,2025-09-01
2850172000,0,,36.88591474 ,127.21477740 ,30,30,1,2025-09-01
2850172300,0,,36.88705378 ,127.20647220 ,30,30,1,2025-09-01
2850172900,0,,36.90253045 ,127.22055180 ,30,30,1,2025-09-01
2850173000,0,시장교,36.90265954 ,127.22077860 ,30,30,1,2025-09-01
2850173100,0,시장교,36.90277093 ,127.22097130 ,30,30,1,2025-09-01
2850173300,0,,36.90465721 ,127.24597210 ,30,30,1,2025-09-01
2850173400,0,신흥교,36.90496879 ,127.25031140 ,30,30,1,2025-09-01
2850173500,0,,36.90515039 ,127.27985410 ,30,30,1,2025-09-01
2850173600,0,신흥교,36.90520715 ,127.25053230 ,30,30,1,2025-09-01
2850174500,0,상장교,36.91465810 ,127.23084050 ,30,30,1,2025-09-01
2850174600,0,상장교,36.91476406 ,127.23090000 ,30,30,1,2025-09-01
2850176200,0,,36.94901209 ,127.19686640 ,30,30,1,2025-09-01
2850176700,0,,36.95206645 ,127.19457540 ,30,30,1,2025-09-01
2850176800,0,,36.95229740 ,127.19198910 ,30,30,1,2025-09-01
2850147800,0,,36.83541597 ,127.19034880 ,30,30,1,2025-09-01
2850128200,0,(새마을창고),36.82771755 ,127.31578510 ,30,30,1,2025-09-01
2850128300,0,봉황교,36.82772236 ,127.31504220 ,30,30,1,2025-09-01
2850128600,0,봉황교,36.82776843 ,127.31455690 ,30,30,1,2025-09-01
