연번,고유번호,정류소명,정류소주소,읍면동,시설구분
1054,1981,설화고등학교,충청남도 아산시 배방읍 장재리 1440,배방읍,유개승강장
1055,1982,설화고등학교,충청남도 아산시 배방읍 장재리 1440,배방읍,유개승강장
1056,1983,권곡주공아파트,충청남도 아산시 권곡동 392-10,온양3동,유개승강장
1057,1986,대동리입구,충청남도 아산시 염치읍 대동리 166-1,염치읍,표지판
1058,1987,온양여중고,충청남도 아산시 모종동 590-1,온양3동,표지판
1059,1989,기산1통 성미말,충청남도 아산시 초사동 67,온양5동,유개승강장+표지판
1060,1990,청솔노인요양원,충청남도 아산시 배방읍 수철리 82-20,배방읍,표지판
1061,1991,오암2리구암말,충청남도 아산시 도고면 오암리 314-20,도고면,유개승강장+표지판
1062,1992,신창초등학교,충청남도 아산시 신창면 읍내리 245-2,신창면,표지판
1063,1993,소동3리마을회관,충청남도 아산시 음봉면 소동리 117-2,음봉면,시설없음
1064,1994,소동3리마을회관,충청남도 아산시 음봉면 소동리 117-2,음봉면,시설없음
1065,1995,연화마을8단지,충청남도 아산시 배방읍 장재리 1539 801동 앞,배방읍,유개승강장
1066,1996,월랑1리,충청남도 아산시 음봉면 월랑리 293-2,음봉면,표지판
1067,1997,월랑1리,충청남도 아산시 음봉면 월랑리 293-2,음봉면,표지판
1068,1998,쌍용보건지소,충청남도 아산시 음봉면 쌍룡리 133-6,음봉면,유개승강장+표지판
1069,2000,다소미아파트,충청남도 아산시 신창면 남성리 87-1,신창면,표지판
1070,2001,다소미아파트,충청남도 아산시 신창면 남성리 87-1,신창면,유개승강장+표지판
1071,2003,신현리 마을회관,충청남도 아산시 영인면 신현리 73-2,영인면,유개승강장
1072,2004,상성리 마을회관,충청남도 아산시 영인면 상성리 200-4,영인면,유개승강장
1073,2005,상성리 공단앞,충청남도 아산시 영인면 상성리 333,영인면,시설없음
1074,2006,상성리 공단앞,충청남도 아산시 영인면 상성리 333,영인면,유개승강장
1075,2007,상성리 마을회관,충청남도 아산시 영인면 상성리 200-4,영인면,시설없음
1076,2008,매곡3리,충청남도 아산시 탕정면 매곡리 144-3,탕정면,표지판
1077,2009,매곡3리,충청남도 아산시 탕정면 매곡리 144-3,탕정면,표지판
1078,2010,득산동입구,충청남도 아산시 득산동 23-11,온양4동,표지판
1079,2012,탕정지구,충청남도 아산시 탕정면 선문로 136,탕정면,유개승강장
1080,2014,개화네마을,충청남도 아산시 초사동 578,온양5동,유개승강장
1081,2022,천안아산역,충청남도 아산시 배방읍 장재리 364-4,배방읍,유개승강장+표지판
1082,2023,인주공단입구,충청남도 아산시 인주면 걸매리 180-11,인주면,표지판
1083,2024,소동3리 발산,충청남도 아산시 음봉면 소동리 51,음봉면,표지판
1084,2025,소동3리 발산,충청남도 아산시 음봉면 소동리 51,음봉면,시설없음
1085,2027,음봉농협 산동지점,충청남도 아산시 음봉면 덕지리 171-1,음봉면,유개승강장+표지판
1086,2028,코닝정밀소재1단지,충청남도 아산시 탕정면 명암리 530-2,탕정면,표지판
1087,2029,코닝정밀소재1단지,충청남도 아산시 탕정면 명암리 530-2,탕정면,표지판
1088,2030,백암교회입구,충청남도 아산시 염치읍 백암리 190-2,염치읍,표지판
1089,2031,백암교회입구,충청남도 아산시 염치읍 백암리 190-2,염치읍,시설없음
1090,2032,구성1리 구산,충청남도 아산시 영인면 구성리 67-3,영인면,표지판
1091,2033,구성1리 구산,충청남도 아산시 영인면 구성리 67-3,영인면,유개승강장+표지판
1092,2034,강장2리지레,충청남도 아산시 송악면 강장리 572-6,송악면,유개승강장+표지판
1093,2035,강장2리 지레,충청남도 아산시 송악면 강장리 572-6,송악면,시설없음
1094,2036,관대리 관터,충청남도 아산시 둔포면 관대리 127-8,둔포면,유개승강장
1095,2038,코닝정밀소재2단지,충청남도 아산시 탕정면 명암리 1247-1,탕정면,표지판
1096,2039,유곡1리지풍골,충청남도 아산시 송악면 유곡리 454-2,송악면,유개승강장+표지판
1097,2040,유곡1리지풍골,충청남도 아산시 송악면 유곡리 454-2,송악면,시설없음
1098,2041,수철리 안세일입구,충청남도 아산시 배방읍 수철리 448-3,배방읍,표지판
1099,2042,수철리 안세일입구,충청남도 아산시 배방읍 수철리 448-3,배방읍,시설없음
1100,2043,세교2리 산직말,충청남도 아산시 배방읍 세교리 47-1,배방읍,표지판
1101,2044,삼도공조,충청남도 아산시 음봉면 산정리 244-3,음봉면,표지판
1102,2045,세교2리 산직말,충청남도 아산시 배방읍 세교리 47-1,배방읍,시설없음
1103,2048,호수공원,충청남도 아산시 배방읍 장재리 2006,배방읍,유개승강장
1104,2049,패션1광장,충청남도 아산시 배방읍 장재리 2012,배방읍,유개승강장
1105,2050,패션1광장,충청남도 아산시 배방읍 장재리 2012,배방읍,유개승강장
1106,2054,한국표준협회,충청남도 아산시 배방읍 장재리 1780,배방읍,유개승강장
1107,2056,장재마을,충청남도 아산시 배방읍 장재리 1901,배방읍,유개승강장
1108,2070,북수리 마대,충청남도 아산시 배방읍 북수리 116-2,배방읍,표지판
1109,2071,북수리 마대,충청남도 아산시 배방읍 북수리 116-2,배방읍,유개승강장
1110,2072,세교2리 속샘말,충청남도 아산시 배방읍 세교리 307-2,배방읍,표지판
1111,2073,세교2리 속샘말,충청남도 아산시 배방읍 세교리 307-2,배방읍,시설없음
1112,2074,월랑1리 신성,충청남도 아산시 음봉면 월랑리 18-2,음봉면,표지판
1113,2075,월랑1리 신성,충청남도 아산시 음봉면 월랑리 18-2,음봉면,시설없음
1114,2080,아산리 절골,충청남도 아산시 음봉면 신수리 285-1,음봉면,표지판
1115,2086,문방3리마을회관,충청남도 아산시 인주면 문방리 297-4,인주면,유개승강장
1116,2087,온양4동 주민센터,충청남도 아산시 배미동 37-3,온양4동,유개승강장
1117,2088,온양4동 주민센터,충청남도 아산시 배미동 37-3,온양4동,유개승강장
1118,2089,서원1리 마을회관,충청남도 아산시 염치읍 서원리 221-1,염치읍,시설없음
1119,2091,서원1리 마을회관,충청남도 아산시 염치읍 서원리 221-1,염치읍,표지판
1120,2093,신인2통 방죽안,충청남도 아산시 신인동 438-2,온양5동,표지판
1121,2096,엘크루아파트,충청남도 아산시 신인동 345-3,온양5동,유개승강장
1122,2097,석당리철장모랭이,충청남도 아산시 도고면 석당리 442-4,도고면,표지판
1123,2098,농은리마을회관,충청남도 아산시 도고면 농은리 214-2,도고면,유개승강장
1124,2099,서원1리 서원골,충청남도 아산시 염치읍 서원리 143-1,염치읍,표지판
1125,2102,풍기3통,충청남도 아산시 풍기동 183-6,온양6동,표지판
1126,2103,수장리 안골말,충청남도 아산시 신창면 수장리 13-17,신창면,유개승강장
1127,2104,영인농공단지,충청남도 아산시 영인면 신운리 140-4,영인면,표지판
1128,2105,영인농공단지,충청남도 아산시 영인면 신운리 140-4,영인면,시설없음
1129,2106,창암1리 고갯마루,충청남도 아산시 신창면 읍내리 614-1,신창면,표지판
1130,2107,경남아너스빌,충청남도 아산시 온천동1889,온양1동,유개승강장
1131,2108,서원1리 서원골,충청남도 아산시 염치읍 서원리 143-1,염치읍,시설없음
1132,2109,현대자동차문화관,충청남도 아산시 인주면 대음리 197-5,인주면,유개승강장+표지판
1133,2110,현대자동차문화관,충청남도 아산시 인주면 대음리 197-5,인주면,표지판
1134,2111,득산2통 마을입구,충청남도 아산시 득산동 51-1,온양4동,유개승강장
1135,2112,득산2통 마을입구,충청남도 아산시 득산동 51-1,온양4동,시설없음
1136,2114,인주공단2,충청남도 아산시 인주면 걸매리 1021,인주면,유개승강장+표지판
1137,2115,평촌3리월구리,충청남도 아산시 송악면 외암리 484-13,송악면,시설없음
1138,2116,평촌3리마을회관,충청남도 아산시 송악면 외암리 595-5,송악면,시설없음
1139,2117,동정리 낚시터,충청남도 아산시 염치읍 동정리 산50-2,염치읍,표지판
1140,2118,동정리 낚시터,충청남도 아산시 염치읍 동정리 산50-2,염치읍,시설없음
1141,2119,동정리아랫독징이,충청남도 아산시 염치읍 동정리 305-4,염치읍,표지판
1142,2120,동정리아랫독징이,충청남도 아산시 염치읍 동정리 305-4,염치읍,시설없음
1143,2121,궁화2리 비성골,충청남도 아산시 신창면 궁화리 166-3,신창면,표지판
1144,2121,장재마을11단지,충청남도 아산시 배방읍 장재리 1901,배방읍,유개승강장
1145,2124,명암2리장목이,충청남도 아산시 탕정면 명암리 1342,탕정면,시설없음
1146,2125,명암2리장목이,충청남도 아산시 탕정면 명암리 1342,탕정면,시설없음
1147,2126,유곡리,충청남도 아산시 송악면 유곡리 231,송악면,표지판
1148,2127,한성아파트,충청남도 아산시 모종동 337-2,온양3동,표지판
1149,2128,한성아파트,충청남도 아산시 모종동 337-2,온양3동,표지판
1150,2130,신휴3리,충청남도 아산시 음봉면 신휴리 221-23,음봉면,표지판
1151,2133,배방장례식장,충청남도 아산시 배방읍 구령리 55-50,배방읍,표지판
1152,2134,배방장례식장,충청남도 아산시 배방읍 구령리 55-50,배방읍,표지판
1153,2137,평촌1리입구,충청남도 아산시 송악면 평촌리 483-49,송악면,시설없음
1154,2140,강장2리 아랫마을,충청남도 아산시 송악면 강장리 589-1,송악면,시설없음
1155,2142,세교2리 샛돌,충청남도 아산시 배방읍 세교리 229-6,배방읍,표지판
1156,2143,소화마을아파트,충청남도 아산시 신창면 남성리 184,신창면,유개승강장+표지판
1157,2145,신양리 성황당,충청남도 아산시 둔포면 신양리 377-19,둔포면,유개승강장
1158,2146,신양리 성황당,충청남도 아산시 둔포면 신양리 377-19,둔포면,유개승강장
1159,2147,새터마을,충청남도 아산시 음봉면 산동리 714-4,음봉면,표지판
1160,2148,새터마을,충청남도 아산시 음봉면 산동리 714-4,음봉면,표지판
1161,2151,독자기,충청남도 아산시 배방읍 공수리 46-21,배방읍,표지판
1162,2153,인주공단3,충청남도 아산시 인주면 걸매리 1011-1,인주면,유개승강장+표지판
1163,2154,좌부삼거리,충청남도 아산시 좌부동 250-1,온양6동,유개승강장
1164,2155,좌부삼거리,충청남도 아산시 좌부동 250-1,온양6동,표지판
1165,2156,도리못,충청남도 아산시 배방읍 구령리 2-82,배방읍,표지판
1166,2157,도리못,충청남도 아산시 배방읍 구령리 2-82,배방읍,표지판
1167,2158,운용1리 입구,충청남도 아산시 둔포면 운용리 166-1,둔포면,표지판
1168,2159,온양농협,충청남도 아산시 방축동 189-2,온양4동,표지판
1169,2160,마라위,충청남도 아산시 영인면 윤보선로 184,영인면,표지판
1170,2161,마라위,충청남도 아산시 영인면 윤보선로 184,영인면,표지판
1171,2164,디스플레이제1캠퍼스,충청남도 아산시 탕정면 명암리 산15-3,탕정면,표지판
1172,2165,디스플레이제1캠퍼스,충청남도 아산시 탕정면 명암리 산15-3,탕정면,유개승강장
1173,2168,송용1리 마을회관,충청남도 아산시 둔포면 송용리 149-1,둔포면,시설없음
1174,2169,대동리삼거리,충청남도 아산시 염치읍 대동리 60-18,염치읍,표지판
1175,2170,대동리삼거리,충청남도 아산시 염치읍 대동리 60-18,염치읍,유개승강장
1176,2174,미소래산후조리원,충청남도 아산시 음봉면 덕지리 65-6,음봉면,유개승강장
1177,2175,용화근린공원,충청남도 아산시 용화동 99-3,온양5동,표지판
1178,2176,냉정골,충청남도 아산시 둔포면 신남리 743-28,둔포면,표지판
1179,2177,쌍죽리입구,충청남도 아산시 염치읍 염성리 214-9,염치읍,표지판
1180,2179,신한아파트,충청남도 아산시 배방읍 세교리 425-3,배방읍,유개승강장
1181,2187,현대자동차정문앞,충청남도 아산시 인주면 금성리 118-3,인주면,표지판
1182,2190,배방읍사무소,충청남도 아산시 배방읍 공수리 1546,배방읍,유개승강장
1183,2191,배방읍사무소,충청남도 아산시 배방읍 공수리 1672,배방읍,유개승강장
1184,2192,삼성기숙사,충청남도 아산시 음봉면 동암리 727,음봉면,표지판
1185,2193,삼성기숙사,충청남도 아산시 음봉면 동암리 727,음봉면,표지판
1186,2195,성정빌라,충청남도 아산시 염치읍 송곡리 115-24,염치읍,유개승강장
1187,2196,성정빌라,충청남도 아산시 염치읍 송곡리 115-24,염치읍,표지판
1188,2197,현대엠시트,충청남도 아산시 신창면 가내리 산12-4,신창면,시설없음
1189,2198,현대엠시트,충청남도 아산시 신창면 가내리 산13-1,신창면,표지판
1190,2202,배방고등학교,충청남도 아산시 배방읍 북수리 719-5,배방읍,유개승강장
1191,2203,여술삼거리,충청남도 아산시 탕정면 갈산리 332-1,탕정면,표지판
1192,2204,여술삼거리,충청남도 아산시 탕정면 갈산리 332-1,탕정면,표지판
1193,2205,신수1리,충청남도 아산시 음봉면 신수리 445-6,음봉면,유개승강장
1194,2207,옹기전시체험관,충청남도 아산시 도고면 신언리 71-21,도고면,유개승강장
1195,2210,비석거리,충청남도 아산시 도고면 석당리 508,도고면,표지판
1196,2211,비석거리,충청남도 아산시 도고면 석당리 508,도고면,표지판
1197,2216,와이시티,충청남도 아산시 배방읍 장재리 1754,배방읍,유개승강장
1198,2217,패션2광장,충청남도 아산시 배방읍 장재리 1763,배방읍,유개승강장
1199,2218,아산역,충청남도 아산시 배방읍 장재리 2003,배방읍,유개승강장
1200,2219,아산역,충청남도 아산시 배방읍 장재리 2003,배방읍,유개승강장
1201,2220,패션2광장,충청남도 아산시 배방읍 장재리 1765,배방읍,유개승강장
1202,2221,와이시티,충청남도 아산시 배방읍 장재리 1754,배방읍,유개승강장
1203,2223,성내리사거리,충청남도 아산시 영인면 성내리 333-2,영인면,표지판
1204,2224,앙강마을 이순신고등학교,충청남도 아산시 배방읍 장재리 2114,배방읍,유개승강장
1205,2225,도흥1리회관,충청남도 아산시 인주면 도흥리 58-2,인주면,유개승강장
1206,2226,도고농공단지,충청남도 아산시 도고면 신언리 56-22,도고면,유개승강장+표지판
1207,2227,학성교회,충청남도 아산시 선장면 죽산리 320,선장면,시설없음
1208,2232,강장2리 아랫말,충청남도 아산시 송악면 강장리 589-1,송악면,유개승강장
1209,2233,둔포체육공원,충청남도 아산시 둔포면 송용리 109-4,둔포면,표지판
1210,2234,둔포체육공원,충청남도 아산시 둔포면 시포리 5-33,둔포면,표지판
1211,2239,궁평1리오룡동,충청남도 아산시 선장면 궁평리 52-17,선장면,유개승강장+표지판
1212,2240,선창2리,충청남도 아산시 선장면 선창리 21-20,선장면,표지판
1213,2242,오암1리회관,충청남도 아산시 도고면 오암리 177-1,도고면,표지판
1214,2245,유리요양병원,충청남도 아산시 도고면 기곡리 158-8,도고면,유개승강장+표지판
1215,2246,유리요양병원,충청남도 아산시 도고면 기곡리 158-8,도고면,유개승강장
1216,2247,상성리 원모루,충청남도 아산시 영인면 상성리 245-6,영인면,표지판
1217,2248,상성리 원모루,충청남도 아산시 영인면 상성리 245-6,영인면,표지판
1218,2251,오미니고개,충청남도 아산시 송악면 마곡리 172-17,송악면,유개승강장
1219,2253,코닝정밀소재,충청남도 아산시 탕정면 명암리 1327,탕정면,유개승강장
1220,2254,코닝정밀소재,충청남도 아산시 탕정면 명암리 1327,탕정면,유개승강장
1221,10001,LH아산사업본부,충청남도 아산시 배방읍 장재리 1996,배방읍,유개승강장
1222,10002,LH아산사업본부,충청남도 아산시 배방읍 장재리 1996,배방읍,유개승강장
1223,10003,설화중학교,충청남도 아산시 배방읍 장재리 1568,배방읍,표지판
1224,10004,설화중학교,충청남도 아산시 배방읍 장재리 1435,배방읍,표지판
1225,10005,아산신도시입구,충청남도 아산시 배방읍 장재리 1542,배방읍,유개승강장
1226,10006,한들물빛 시티프라디움,충청남도 아산시 배방읍 장재리 2108,배방읍,유개승강장
1227,10007,지웰시티 3단지,충청남도 아산시 배방읍 장재리 2108,배방읍,유개승강장
1228,10008,배방stx칸 아파트,충청남도 아산시 배방읍 장재리 1534,배방읍,유개승강장
1229,10009,탕정역건너,충청남도 아산시 탕정면 매곡리 244-1,탕정면,유개승강장
1230,10010,특수교육원,충청남도 아산시 배방읍 장재리 1739,배방읍,유개승강장+표지판
1231,10011,열병합발전소,충청남도 아산시 배방읍 장재리 1194,배방읍,유개승강장
1232,10014,한글공원,충청남도 아산시 배방읍 장재리 1967,배방읍,유개승강장
1233,10015,한글공원,충청남도 아산시 배방읍 장재리 1967,배방읍,유개승강장
1234,10018,용연공원,충청남도 아산시 배방읍 장재리 1967,배방읍,유개승강장
1235,10020,동방초등학교 앞,충청남도 아산시 배방읍 휴대리 160-3,배방읍,표지판
1236,10021,한성아파트,충청남도 아산시 배방읍 휴대리 27-1,배방읍,유개승강장
1237,10030,온양중,충청남도 아산시 용화동 945,온양5동,시설없음
1238,10031,주은아파트,충청남도 아산시 풍기동 229-64,온양6동,유개승강장
1239,10032,온양2동,충청남도 아산시 온천동 209-9,온양2동,시설없음
1240,10033,굴다리,충청남도 아산시 온천동 292-2,온양2동,유개승강장
1241,10034,맹사성고택,충청남도 아산시 배방읍 신흥리 426,배방읍,유개승강장
1242,10035,일성아파트,충청남도 아산시 온천동 1204,온양1동,유개승강장+표지판
1243,10036,청소년교육문화센터,충청남도 아산시 온천동 1182,온양3동,표지판
1244,10037,신정중학교,충청남도 아산시 실옥동 217-10,온양4동,시설없음
1245,10038,신정중학교,충청남도 아산시 실옥동 217-15,온양4동,표지판
1246,10039,동아아파트,충청남도 아산시 방축동 140,온양4동,유개승강장
1247,10040,동아아파트,충청남도 아산시 방축동 140,온양4동,유개승강장+표지판
1248,10041,용화택지1,충청남도 아산시 용화동 1639,온양5동,시설없음
1249,10042,용화택지1,충청남도 아산시 용화동 1639,온양5동,시설없음
1250,10043,신도브래뉴아파트,충청남도 아산시 용화동 11-33,온양5동,유개승강장
1251,10044,신1통새뜸,충청남도 아산시 신동 311-8,온양3동,시설없음
1252,10045,신2통 입구,충청남도 아산시 모종동 462-74,온양3동,시설없음
1253,10046,가덕1리,충청남도 아산시 신창면 가덕리 161-2,신창면,시설없음
1254,10047,신창코아루,충청남도 아산시 신창면 남성리 192-6,신창면,시설없음
1255,10051,대흥삼거리,충청남도 아산시 선장면 채신언리 171,선장면,시설없음
1256,10052,기곡2리,충청남도 아산시 도고면 기곡리 313-17,도고면,유개승강장
1257,10053,시전4리 가향리 건너,충청남도 아산시 도고면 시전리 322-16,도고면,유개승강장
1258,10054,시전4리 가향리,충청남도 아산시 도고면 온천대로 371-1,도고면,표지판
1259,10055,시전삼거리,충청남도 아산시 도고면 시전리 581-39,도고면,표지판
1260,10056,시전삼거리,충청남도 아산시 도고면 시전리 71-11,도고면,표지판
1261,10057,신통교앞,충청남도 아산시 도고면 향산리 225-10,도고면,표지판
1262,10059,행목2리,충청남도 아산시 신창면 행목리 65-1,신창면,유개승강장
1263,10060,양우내안애아파트,충청남도 아산시 신창면 행목리 238-15,신창면,유개승강장
1264,10061,신창샘마을아파트,충청남도 아산시 신창면 남성리 177-16,신창면,시설없음
1265,10062,신언1리 된벌,충청남도 아산시 도고면 신언리 525,도고면,표지판
1266,10063,가산2리 동안말,충청남도 아산시 선장면 가산리 895-1,선장면,시설없음
1267,10064,신언4리,충청남도 아산시 도고면 신언리 316-16,도고면,유개승강장
1268,10065,신통1리 마을회관,충청남도 아산시 도고면 신통리 220-2,도고면,시설없음
1269,10066,신통2리 마을회관,충청남도 아산시 도고면 신통리 11-3,도고면,표지판
1270,10067,연봉정,충청남도 아산시 도고면 효자리 182-7,도고면,유개승강장
1271,10068,효자리 연봉정,충청남도 아산시 도고면 효자리 182-7,도고면,유개승강장+표지판
1272,10069,덕원프라자,충청남도 아산시 도고면 금산리 207-19,도고면,유개승강장
1273,10070,창암1리,충청남도 아산시 신창면 창암리 329-9,신창면,표지판
1274,10071,황산2리회관,충청남도 아산시 신창면 황산리 342-18,신창면,시설없음
1275,10072,황산리 모산,충청남도 아산시 신창면 황산리 5-23,신창면,표지판
1276,10073,초사1통회차지,충청남도 아산시 초사동 643,온양5동,유개승강장
1277,10074,방축5통 새말,충청남도 아산시 방축동 553,온양4동,유개승강장
1278,10075,평촌2리 입구,충청남도 아산시 송악면 평촌리 148,송악면,시설없음
1279,10076,오미니고개,충청남도 아산시 송악면 마곡리 172-17,송악면,유개승강장
1280,10077,유곡2리,충청남도 아산시 송악면 유곡리 231,송악면,시설없음
1281,10078,유곡교회,충청남도 아산시 송악면 유곡리 254-1,송악면,시설없음
1282,10085,평촌3리월구리,충청남도 아산시 송악면 외암리 484-13,송악면,시설없음
1283,10086,득산2동,충청남도 아산시 득산동 104-1,온양4동,유개승강장
1284,10087,안골,충청남도 아산시 영인면 성내리 488-2,영인면,시설없음
1285,10088,신봉1리 입구,충청남도 아산시 영인면 신봉리 1281,영인면,유개승강장
1286,10089,와우리대추머리,충청남도 아산시 영인면 백석포리 104-17,영인면,유개승강장
1287,10090,아산흰돌유치원,충청남도 아산시 영인면 백석포리 292-3,영인면,유개승강장
1288,10091,백석포삼거리,충청남도 아산시 영인면 백석포리 458-3,영인면,유개승강장
1289,10092,신운3리,충청남도 아산시 영인면 신운리 486-2,영인면,유개승강장
1290,10093,신운리게이트볼장,충청남도 아산시 영인면 신운리 414-2,영인면,유개승강장
1291,10094,백석포,충청남도 아산시 영인면 백석포리 458-3,영인면,유개승강장
1292,10095,와우리마을회관,충청남도 아산시 영인면 와우리 138-9,영인면,표지판
1293,10096,성내1리 입구,충청남도 아산시 영인면 성내리 448-4,영인면,표지판
1294,10097,성내2리 안골입구,충청남도 아산시 영인면 성내리 583-19,영인면,표지판
1295,10098,상성리 불무실,충청남도 아산시 영인면 상성리 52-2,영인면,표지판
1296,10099,상성리 옥거리,충청남도 아산시 영인면 상성리 34-1,영인면,표지판
1297,10100,신현리 은낙골,충청남도 아산시 영인면 신현리 163-1,영인면,표지판
1298,10101,신현리 안말,충청남도 아산시 영인면 신현리 188-1,영인면,표지판
1299,10102,송용2리,충청남도 아산시 둔포면 관대리 109-16,둔포면,유개승강장
1300,10103,제2공원,충청남도 아산시 둔포면 석곡리 1841,둔포면,유개승강장
1301,10104,제2공원,충청남도 아산시 둔포면 석곡리 1841,둔포면,유개승강장
1302,10105,이지더원9단지정문,충청남도 아산시 둔포면 아산밸리남로 37 ,둔포면,표지판
1303,10106,석곡2리 돌다리,충청남도 아산시 둔포면 석곡리 1832,둔포면,표지판
1304,10107,이지더원아파트,충청남도 아산시 둔포면 석곡리 1689,둔포면,표지판
1305,10108,서진캠,충청남도 아산시 둔포면 석곡리 1375,둔포면,유개승강장+표지판
1306,10109,중앙공원,충청남도 아산시 둔포면 석곡리 1482,둔포면,표지판
1307,10110,중앙공원,충청남도 아산시 둔포면 석곡리 1506,둔포면,표지판
1308,10111,태성기연,충청남도 아산시 둔포면 석곡리 1546,둔포면,표지판
1309,10112,한화,충청남도 아산시 둔포면 석곡리 1511,둔포면,표지판
1310,10113,공원,충청남도 아산시 둔포면 석곡리 1480,둔포면,표지판
1311,10114,동보,충청남도 아산시 둔포면 석곡리 1350,둔포면,표지판
1312,10115,능안말,충청남도 아산시 둔포면 석곡리 1307,둔포면,표지판
1313,10116,이녹스,충청남도 아산시 둔포면 석곡리 1353,둔포면,표지판
1314,10117,명화,충청남도 아산시 둔포면 석곡리 1484,둔포면,표지판
1315,10118,한화테크엠,충청남도 아산시 둔포면 석곡리 1537,둔포면,표지판
1316,10119,한성티앤아이,충청남도 아산시 둔포면 석곡리 1557,둔포면,표지판
1317,10120,n마트,충청남도 아산시 둔포면 석곡리 1843,둔포면,유개승강장
1318,10121,이지더원9단지 입구,충청남도 아산시 둔포면 아산밸리남로 37,둔포면,표지판
1319,10122,신양1리 마을입구,충청남도 아산시 둔포면 신양리 242-14,둔포면,표지판
1320,10123,봉재3리,충청남도 아산시 둔포면 관대리 197-30,둔포면,시설없음
1321,10124,퍼스트빌리지,충청남도 아산시 둔포면 신항리 30-10,둔포면,시설없음
1322,10125,퍼스트빌리지,충청남도 아산시 둔포면 신항리 57-38,둔포면,시설없음
1323,10126,봉재리,충청남도 아산시 둔포면 봉재리 208-1,둔포면,시설없음
1324,10127,소동2리,충청남도 아산시 음봉면 소동리 359-8,음봉면,시설없음
1325,10128,신휴1리,충청남도 아산시 음봉면 신휴리 99-6,음봉면,표지판
1326,10129,의식리,충청남도 아산시 음봉면 의식리 40-6,음봉면,유개승강장
1327,10130,신휴1리,충청남도 아산시 음봉면 신휴리 99-6,음봉면,유개승강장
1328,10131,신휴리저수지,충청남도 아산시 음봉면 신휴리 55-33,음봉면,시설없음
1329,10132,신휴3리구부엉골,충청남도 아산시 음봉면 신휴리 225-7,음봉면,유개승강장
1330,10133,신휴3리구부엉골,충청남도 아산시 음봉면 신휴리 225-7,음봉면,시설없음
1331,10134,염작초등학교,충청남도 아산시 둔포면 석곡리 1539,둔포면,표지판
1332,10135,쌍용1리,충청남도 아산시 음봉면 쌍룡리 198-2,음봉면,시설없음
1333,10136,신수리1구,충청남도 아산시 음봉면 신수리 445-6,음봉면,시설없음
1334,10138,아산온천,충청남도 아산시 음봉면 신수리 472,음봉면,유개승강장
1335,10139,인주산업단지,충청남도 아산시 인주면 걸매리 1068,인주면,시설없음
1336,10140,인주산업단지,충청남도 아산시 인주면 걸매리 1063,인주면,표지판
1337,10141,현대오일뱅크앞,충청남도 아산시 인주면 걸매리 183-32,인주면,시설없음
1338,10142,서원1리 서원골,충청남도 아산시 염치읍 서원리 289-77,염치읍,표지판
1339,10143,서원1리,충청남도 아산시 염치읍 서원리 143,염치읍,유개승강장
1340,10144,석정1리(돌모루),충청남도 아산시 염치읍 석정리 217-1,염치읍,표지판
1341,10145,석두1리 서릿말,충청남도 아산시 염치읍 석두리 298,염치읍,표지판
1342,10146,쌍죽리,충청남도 아산시 염치읍 쌍죽리 51-4,염치읍,시설없음
1343,10147,쌍죽리입구,충청남도 아산시 염치읍 염성리 214-9,염치읍,시설없음
1344,10148,용두3리(종점),충청남도 아산시 탕정면 용두리 115,탕정면,표지판
1345,10150,명암3리,충청남도 아산시 탕정면 동산리 609,탕정면,시설없음
1346,10151,대동리입구,충청남도 아산시 염치읍 대동리 166-1,염치읍,시설없음
1347,10152,백암2리,충청남도 아산시 염치읍 백암리 226-2,염치읍,표지판
1348,10154,송곡1리,충청남도 아산시 염치읍 송곡리 190-12,염치읍,유개승강장
1349,10155,문방1리 세밑마루,충청남도 아산시 인주면 문방리 574-10,인주면,유개승강장
1350,10156,탕정우체국,충청남도 아산시 탕정면 용두리 623-4,탕정면,유개승강장+표지판
1351,10157,홍익아파트,충청남도 아산시 탕정면 호산리 495-2,탕정면,표지판
1352,10158,초사2리 사래,충청남도 아산시 초사동 245,온양5동,유개승강장
1353,10159,휴대리배방농협,충청남도 아산시 배방읍 휴대리 154-4,배방읍,유개승강장
1354,10160,화천리 대천,충청남도 아산시 도고면 화천리 172-1,도고면,표지판
1355,10161,화천1리회관,충청남도 아산시 도고면 화천리 474-6,도고면,표지판
1356,10162,화천1리,충청남도 아산시 도고면 화천리 385-2,도고면,유개승강장
1357,10163,경찰인재개발원,충청남도 아산시 초사동 712-14,온양5동,유개승강장+표지판
1358,10164,백암리,충청남도 아산시 염치읍 백암리 16-12,염치읍,유개승강장
1359,10165,금산리,충청남도 아산시 도고면 금산리 216-10,도고면,유개승강장
1360,10166,신도브래뉴아파트,충청남도 아산시 용화동 11-33,온양5동,표지판
1361,10167,청솔아파트,충청남도 아산시 권곡동 100-3,온양3동,유개승강장
1362,10168,청솔아파트,충청남도 아산시 권곡동 171-21,온양3동,표지판
1363,10169,오목초등학교,충청남도 아산시 신창면 오목리 307-76,신창면,시설없음
1364,10170,오목초등학교,충청남도 아산시 신창면 오목리 307-76,신창면,시설없음
1365,10171,신창면사무소,충청남도 아산시 신창면 서부북로 633 신창면사무소 입구앞,신창면,표지판
1366,10172,신창파출소,충청남도 아산시 신창면 오목리 300-14,신창면,시설없음
1367,10173,오목오거리,충청남도 아산시 신창면 오목리 300-107,신창면,시설없음
