"facility_id","name","category","nearest_node_id","address","lat","lng"
"F00144","브라보명품찹쌀꽈배기천안입장점","음식점","ST001","충청남도 천안시 서북구 입장면 하장4길 6","36.914487","127.221723"
"F00145","입장돈까스","음식점","ST001","충청남도 천안시 서북구 입장면 하장4길 6","36.914487","127.221723"
"F00146","준과자점","음식점","ST001","충청남도 천안시 서북구 입장면 하장4길 5","36.914235","127.221700"
"F00147","친구호프","음식점","ST001","충청남도 천안시 서북구 입장면 하장4길 5","36.914235","127.221700"
"F00148","지에스25둔포","편의점","ST001","충청남도 아산시 둔포면 충무로 1412","36.898695","127.034848"
"F00149","엄마식당","음식점","ST001","충청남도 아산시 둔포면 관대길 83-6","36.906805","127.033135"
"F00150","배불뚝곱창","음식점","ST001","충청남도 천안시 서북구 입장면 하장3길 15","36.914272","127.221475"
"F00151","베트남쌀국수","음식점","ST001","충청남도 천안시 서북구 입장면 하장3길 15","36.914272","127.221475"
"F00152","GS25둔포관대점","편의점","ST001","충청남도 아산시 둔포면 관대길 61","36.904669","127.033650"
"F00153","지에스25둔포관대점","편의점","ST001","충청남도 아산시 둔포면 관대길 61","36.904669","127.033650"
"F00154","이마트24아산둔포관대점","편의점","ST001","충청남도 아산시 둔포면 관대길 97","36.907679","127.033304"
"F00155","별보라","카페","ST001","충청남도 천안시 서북구 입장면 하장4길 11","36.914146","127.221060"
"F00156","천안토종장수순대","음식점","ST001","충청남도 아산시 둔포면 관용로 14","36.895549","127.036462"
"F00157","스모프치킨","음식점","ST001","충청남도 천안시 서북구 입장면 하장4길 12","36.914615","127.221050"
"F00158","르안타이","음식점","ST001","충청남도 천안시 서북구 입장면 하장4길 12","36.914606","127.221038"
"F00159","버거입장","음식점","ST001","충청남도 천안시 서북구 입장면 하장4길 11-1","36.914128","127.220902"
"F00160","부촌닭갈비","음식점","ST001","충청남도 아산시 둔포면 윤보선로 652-21","36.922061","127.033445"
"F00161","아티블랑둔포농협하나로마트점","카페","ST001","충청남도 아산시 둔포면 충무로 1759","36.927701","127.034525"
"F00162","아리랑장수촌","음식점","ST001","충청남도 천안시 서북구 입장면 성진로 810","36.914580","127.220533"
"F00163","토종장수순대","음식점","ST001","충청남도 아산시 둔포면 충무로 1778","36.930134","127.035368"
"F00164","옛날그맛치킨.족발","음식점","ST001","충청남도 아산시 둔포면 충무로 1768","36.929323","127.035210"
"F00165","관대기사식당","음식점","ST001","충청남도 아산시 둔포면 관대길 88","36.906949","127.034336"
"F00166","노걸대감자탕","음식점","ST001","충청남도 아산시 둔포면 충무로 1764","36.929188","127.035255"
"F00167","대전식당","음식점","ST001","충청남도 아산시 둔포면 충무로 1760","36.928782","127.035266"
"F00168","해남보리밥","음식점","ST001","충청남도 아산시 둔포면 충무로 1762","36.929134","127.035367"
"F00169","이마트24 아산둔포 충무로점","편의점","ST001","충청남도 아산시 둔포면 충무로 1752","36.928079","127.035288"
"F00170","이마트24아산둔포충무로점","편의점","ST001","충청남도 아산시 둔포면 충무로 1752","36.928079","127.035288"
"F00171","일품양평해장국","음식점","ST001","충청남도 아산시 둔포면 둔포면로17번길 20-5","36.929629","127.035659"
