"stop_id","stop_name","lat","lng","district"
"2880001400","신유삼거리","36.73660930","126.91742950",""
"2980009100","3","36.72573911","126.78490380",""
"2850004600","풍서삼거리","36.72837398","127.12036050",""
"2850003700","풍서사거리","36.72087808","127.12023390",""
"2980006400","발연삼거리","36.69863830","126.82906620",""
"2980005600","한마음농원앞사거리","36.68742995","126.78395850",""
"2980005000","오가사거리","36.68489936","126.80731340",""
"2980004000","동촌삼거리","36.67653480","126.90223300",""
"2860026000","광정삼거리","36.61184339","127.12181470",""
"2860024200","부곡 삼거리","36.57838677","127.01785800",""
"2860023600","운암 삼거리","36.56080827","127.02099240",""
"2850000300","곡두터널","36.65764392","127.04166190",""
"2860028200","곡두터널","36.65129226","127.03980140",""
"2860032500","광정교차로","36.61475277","127.12390950",""
"2881883800","읍내교종점","36.78513096","126.93783740",""
"2881856291","정류장 2881856291","36.80345576","126.93544000",""
"2880007990","정류장 2880007990","36.80390970","126.86706810",""
"2881818191","정류장 2881818191","36.76891515","126.98273450",""
"2881801092","정류장 2881801092","36.76950655","126.93754620",""
"2881812693","정류장 2881812693","36.77005439","126.88315910",""
"2850210400","정류장 2850210400","36.79509796","127.09811000",""
"2850212500","정류장 2850212500","36.80039496","127.09976800",""
"2140042400","없음","36.98850770","126.97469450",""
"2881873500","정류장 2881873500","36.89027015","127.07093770",""
"2881877400","(블랙타운)","36.92741550","127.03784510",""
"2881872300","정류장 2881872300","36.88630726","126.91631470",""
"2881857800","정류장 2881857800","36.80858701","126.92597220",""
"2850054500","구곡교","36.79116671","127.16311370",""
"2860022900","정류장 2860022900","36.55570492","126.95432590",""
"2860021900","정류장 2860021900","36.54492308","126.94932260",""
"2860028500","정류장 2860028500","36.65347130","127.04043960",""
"3000017300","송악IC","36.93672748","126.78155320",""
"3000009800","당진IC","36.89088802","126.70402270",""
"288010461","온양온천역사","36.78049000","127.00350000",""
"288010462","벽산아파트","36.78886000","126.98900000",""
"288010463","실옥3통 건너","36.79017000","126.98860000",""
"288010464","실옥3통","36.79025000","126.98870000",""
"288010465","선창1리입구","36.78937590","126.87021500",""
"288010466","선창1리입구","36.78934030","126.87029930",""
"288010467","온양농협경제센터","36.75356530","127.00657440",""
"288010469","모종주공아파트","36.78437400","127.01871620",""
"288010470","한성아파트2차","36.78448960","127.01988330",""
"2881891190","정류장 2881891190","36.70810170","126.97241010",""
"288010471","신인1통 입구","36.75174000","126.98120000",""
"288010472","경찰대학교","36.75225450","126.95669990",""
"288010473","기산2통입구","36.75286000","126.96070000",""
"288010474","기산2통 마을회관","36.74841000","126.96090000",""
"288010475","성미마을입구","36.75231710","126.96855740",""
"2881891290","정류장 2881891290","36.75532440","127.03256550",""
"2881891690","정류장 2881891690","36.85755730","126.90879750",""
"2881891790","정류장 2881891790","36.84857580","126.97907600",""
"2881891890","정류장 2881891890","36.74910050","126.88925960",""
"2881891990","정류장 2881891990","36.75000530","126.88990780",""
"2881892090","정류장 2881892090","36.74974370","126.88899690",""
"2881892190","정류장 2881892190","36.78373530","127.09798890",""
"288010476","도고온천역 건너","36.74987000","126.88950000",""
"2881892290","정류장 2881892290","36.80602490","127.02150110",""
"2881892390","정류장 2881892390","36.78278680","127.09447140",""
"2881892490","정류장 2881892490","36.78234610","127.09476740",""
"288010477","탕정우체국","36.79743560","127.04817860",""
"288010478","배방석유","36.76140000","127.06720000",""
